,Frame,Ball Location,PlayerDicts
0,0,[[7270.787  6748.5977]],"{0: {'kitColor': [152.65958, 233.52765, 173.50212], 'location': [7449.5557, 4314.738]}, 1: {'kitColor': [229.70627, 232.41776, 226.68538], 'location': [5465.4497, 4521.5845]}, 2: {'kitColor': [148.50131, 225.77547, 169.87337], 'location': [8357.738, 4418.3096]}, 3: {'kitColor': [151.42253, 238.09038, 189.6162], 'location': [5714.7246, 4348.097]}, 4: {'kitColor': [155.36603, 239.82869, 177.34554], 'location': [8454.083, 3793.8523]}, 5: {'kitColor': [129.70265, 225.42235, 157.88542], 'location': [8438.562, 6028.6353]}, 6: {'kitColor': [227.82968, 228.09276, 212.05397], 'location': [8172.034, 4208.535]}, 7: {'kitColor': [160.42322, 237.1125, 182.13571], 'location': [7331.7075, 3034.278]}, 8: {'kitColor': [225.05785, 231.37602, 220.07437], 'location': [5795.61, 1840.1903]}, 9: {'kitColor': [205.40439, 203.33069, 191.75499], 'location': [7600.63, 7014.6597]}, 10: {'kitColor': [224.96895, 229.49797, 214.85695], 'location': [6287.9966, 5333.926]}, 11: {'kitColor': [149.38661, 237.00084, 177.51883], 'location': [6136.512, 6021.809]}, 12: {'kitColor': [215.8369, 221.71793, 204.62033], 'location': [6905.021, 3807.011]}, 13: {'kitColor': [208.06667, 210.62465, 206.63562], 'location': [5797.1772, 6152.091]}, 14: {'kitColor': [146.00249, 228.58984, 171.4742], 'location': [6805.554, 5793.7075]}, 15: {'kitColor': [220.17786, 224.7143, 211.2624], 'location': [8281.604, 3062.7812]}, 16: {'kitColor': [162.16954, 236.14081, 182.11494], 'location': [8262.789, 2190.7744]}, 17: {'kitColor': [221.57558, 221.26454, 211.40407], 'location': [8092.1426, 379.82413]}, 18: {'kitColor': [186.78732, 224.22954, 182.85474], 'location': [7289.1816, 6358.754]}}"
1,1,[[7270.562  6749.3994]],"{0: {'kitColor': [152.65958, 233.52765, 173.50212], 'location': [7450.164, 4314.1704]}, 1: {'kitColor': [229.60756, 232.37027, 226.59843], 'location': [5465.3633, 4522.0986]}, 2: {'kitColor': [148.50131, 225.77547, 169.87337], 'location': [8358.273, 4417.372]}, 3: {'kitColor': [151.42253, 238.09038, 189.6162], 'location': [5714.821, 4348.354]}, 4: {'kitColor': [155.36603, 239.82578, 177.35432], 'location': [8454.833, 3792.5796]}, 5: {'kitColor': [129.70265, 225.42235, 157.88542], 'location': [8438.489, 6028.3066]}, 6: {'kitColor': [227.82968, 228.10287, 212.05565], 'location': [8172.67, 4207.5835]}, 7: {'kitColor': [160.32857, 237.0268, 182.05357], 'location': [7332.737, 3032.9602]}, 8: {'kitColor': [225.05785, 231.37602, 220.07437], 'location': [5798.1133, 1838.574]}, 9: {'kitColor': [205.40439, 203.33069, 191.75499], 'location': [7600.316, 7015.3193]}, 10: {'kitColor': [224.96895, 229.49797, 214.85695], 'location': [6288.038, 5334.5977]}, 11: {'kitColor': [149.46521, 237.01845, 177.60855], 'location': [6136.292, 6023.024]}, 12: {'kitColor': [215.84091, 221.75269, 204.63235], 'location': [6905.717, 3806.3596]}, 13: {'kitColor': [208.31348, 210.84875, 206.81851], 'location': [5796.786, 6153.6226]}, 14: {'kitColor': [146.00249, 228.58984, 171.4742], 'location': [6805.587, 5794.344]}, 15: {'kitColor': [220.17786, 224.7143, 211.2624], 'location': [8282.645, 3061.193]}, 16: {'kitColor': [162.16954, 236.14081, 182.11494], 'location': [8268.552, 2171.5618]}, 17: {'kitColor': [223.20299, 222.65373, 213.17612], 'location': [8094.16, 376.55847]}, 18: {'kitColor': [186.78732, 224.22954, 182.85474], 'location': [7289.0884, 6359.359]}}"
2,2,[],"{0: {'kitColor': [229.0583, 231.01117, 224.93672], 'location': [5469.504, 4531.4907]}, 1: {'kitColor': [154.89137, 238.3884, 176.78125], 'location': [8464.867, 3790.0967]}, 2: {'kitColor': [150.08208, 236.48785, 188.59999], 'location': [5717.77, 4348.3696]}, 3: {'kitColor': [160.32741, 237.7669, 182.39679], 'location': [7341.437, 3017.5667]}, 4: {'kitColor': [229.02463, 229.1018, 213.34319], 'location': [8180.9463, 4205.0625]}, 5: {'kitColor': [147.19647, 226.56801, 168.70403], 'location': [8368.096, 4414.9316]}, 6: {'kitColor': [228.43723, 234.1054, 223.5314], 'location': [5797.174, 1854.8345]}, 7: {'kitColor': [151.39168, 233.42639, 173.27501], 'location': [7454.1753, 4322.3804]}, 8: {'kitColor': [227.25407, 230.08289, 217.11278], 'location': [6308.3774, 5331.276]}, 9: {'kitColor': [147.90742, 236.62636, 177.54462], 'location': [6142.2637, 6024.5405]}, 10: {'kitColor': [131.22717, 226.85858, 159.65034], 'location': [8450.323, 6026.9717]}, 11: {'kitColor': [209.39148, 206.34392, 193.89198], 'location': [7597.8784, 7022.35]}, 12: {'kitColor': [220.9824, 223.70088, 211.6217], 'location': [8303.398, 3046.28]}, 13: {'kitColor': [217.10904, 221.68883, 204.59706], 'location': [6908.589, 3816.0376]}, 14: {'kitColor': [208.9221, 212.28261, 207.80435], 'location': [5801.1167, 6160.809]}, 15: {'kitColor': [165.11111, 238.5117, 184.96199], 'location': [8270.856, 2186.7698]}, 16: {'kitColor': [145.22864, 229.54271, 170.85092], 'location': [6838.01, 5827.1694]}, 17: {'kitColor': [224.72392, 223.50307, 212.6043], 'location': [8096.5405, 376.69717]}, 18: {'kitColor': [170.72536, 222.80862, 172.91966], 'location': [7333.9805, 6397.553]}}"
3,3,[[7285.4053 6795.331 ]],"{0: {'kitColor': [147.89294, 227.35767, 168.8163], 'location': [8375.696, 4421.7466]}, 1: {'kitColor': [229.90225, 231.67418, 225.92732], 'location': [5473.2603, 4533.7383]}, 2: {'kitColor': [230.97386, 230.39706, 214.75163], 'location': [8183.5005, 4210.4624]}, 3: {'kitColor': [151.71312, 237.23576, 190.47618], 'location': [5720.324, 4350.4595]}, 4: {'kitColor': [155.2814, 240.18124, 177.37679], 'location': [8470.473, 3796.4587]}, 5: {'kitColor': [225.88904, 227.41515, 213.98042], 'location': [6321.0923, 5343.504]}, 6: {'kitColor': [227.0399, 232.9246, 222.3858], 'location': [5795.4883, 1865.8367]}, 7: {'kitColor': [228.90508, 229.36949, 219.19661], 'location': [8320.25, 3053.5002]}, 8: {'kitColor': [161.53694, 237.67749, 182.88649], 'location': [7350.224, 3021.193]}, 9: {'kitColor': [145.42561, 235.31256, 175.95679], 'location': [6146.382, 6026.1675]}, 10: {'kitColor': [134.53456, 223.58855, 159.10043], 'location': [8443.093, 6063.3325]}, 11: {'kitColor': [212.36572, 206.73041, 196.78056], 'location': [7596.0845, 7020.1133]}, 12: {'kitColor': [219.2531, 223.51169, 207.08391], 'location': [6909.858, 3807.2444]}, 13: {'kitColor': [155.02493, 233.68143, 174.87396], 'location': [7459.0283, 4327.164]}, 14: {'kitColor': [209.49379, 213.6046, 209.48137], 'location': [5804.8926, 6172.282]}, 15: {'kitColor': [164.45041, 236.39948, 183.63272], 'location': [8275.532, 2189.1287]}, 16: {'kitColor': [145.90733, 229.21559, 171.58533], 'location': [6852.5234, 5832.3]}, 17: {'kitColor': [222.00293, 221.45747, 210.31964], 'location': [8103.024, 369.8233]}, 18: {'kitColor': [188.75018, 227.0029, 184.239], 'location': [7297.446, 6377.2446]}}"
4,4,[[7288.5205 6815.2437]],"{0: {'kitColor': [230.1704, 232.26118, 226.68407], 'location': [5473.7495, 4533.925]}, 1: {'kitColor': [151.79556, 237.28621, 192.1028], 'location': [5723.342, 4351.251]}, 2: {'kitColor': [157.26788, 240.0335, 179.27853], 'location': [8468.839, 3809.195]}, 3: {'kitColor': [148.52333, 228.98486, 171.06935], 'location': [8383.111, 4423.521]}, 4: {'kitColor': [231.53313, 230.91168, 215.22713], 'location': [8186.3726, 4222.721]}, 5: {'kitColor': [221.20605, 224.59837, 209.8673], 'location': [6326.3325, 5344.745]}, 6: {'kitColor': [228.22871, 234.15248, 223.41257], 'location': [5794.633, 1865.7959]}, 7: {'kitColor': [159.73605, 236.8606, 182.46283], 'location': [7358.7603, 3037.414]}, 8: {'kitColor': [133.17737, 219.53822, 158.65034], 'location': [8432.173, 6102.5967]}, 9: {'kitColor': [152.71448, 233.49226, 173.6512], 'location': [7459.9814, 4338.1025]}, 10: {'kitColor': [224.82991, 228.17009, 214.98534], 'location': [8322.601, 3069.209]}, 11: {'kitColor': [145.399, 236.57616, 176.12169], 'location': [6146.651, 6026.048]}, 12: {'kitColor': [144.74976, 230.99016, 172.21379], 'location': [6868.6064, 5836.1914]}, 13: {'kitColor': [212.77263, 209.7445, 199.19316], 'location': [7581.7695, 7015.9287]}, 14: {'kitColor': [222.53474, 226.41277, 209.85815], 'location': [6907.864, 3818.5776]}, 15: {'kitColor': [166.34055, 236.28108, 183.03784], 'location': [8279.62, 2190.0051]}, 16: {'kitColor': [211.68661, 216.08035, 212.78394], 'location': [5803.411, 6192.3706]}, 17: {'kitColor': [222.76471, 223.77647, 211.1], 'location': [8106.866, 370.23453]}, 18: {'kitColor': [195.91008, 231.88904, 190.26033], 'location': [7302.6943, 6372.677]}}"
5,5,[[7284.336 6848.696]],"{0: {'kitColor': [229.54115, 231.11597, 225.44266], 'location': [5475.975, 4542.5205]}, 1: {'kitColor': [150.17218, 236.22577, 190.41391], 'location': [5727.1084, 4352.1826]}, 2: {'kitColor': [159.08046, 239.41954, 180.0546], 'location': [8472.464, 3814.8406]}, 3: {'kitColor': [144.375, 227.02885, 168.34135], 'location': [8391.435, 4431.012]}, 4: {'kitColor': [222.38535, 226.29433, 211.95863], 'location': [6329.4004, 5369.1323]}, 5: {'kitColor': [132.7478, 221.17595, 159.02542], 'location': [8422.153, 6142.869]}, 6: {'kitColor': [149.28973, 233.40787, 171.78621], 'location': [7462.8555, 4342.5264]}, 7: {'kitColor': [228.24484, 233.77344, 223.63614], 'location': [5794.7104, 1865.1617]}, 8: {'kitColor': [160.75557, 236.95961, 183.75153], 'location': [7369.829, 3041.8992]}, 9: {'kitColor': [221.31143, 226.46571, 213.45714], 'location': [8321.492, 3087.5876]}, 10: {'kitColor': [212.88573, 208.11905, 199.04167], 'location': [7558.499, 7021.073]}, 11: {'kitColor': [165.5766, 237.37047, 183.67966], 'location': [8282.008, 2192.643]}, 12: {'kitColor': [231.49843, 231.46082, 216.09404], 'location': [8190.73, 4228.681]}, 13: {'kitColor': [141.35378, 233.74434, 171.37831], 'location': [6882.327, 5843.33]}, 14: {'kitColor': [142.15935, 236.03088, 173.80731], 'location': [6144.7275, 6027.2456]}, 15: {'kitColor': [219.12735, 223.18901, 207.33513], 'location': [6907.6895, 3820.7808]}, 16: {'kitColor': [221.56757, 222.02403, 210.87088], 'location': [8109.206, 369.92325]}, 17: {'kitColor': [210.98586, 214.99736, 212.02211], 'location': [5802.1816, 6203.023]}, 18: {'kitColor': [182.2079, 232.0756, 183.80327], 'location': [7362.81, 6404.9688]}}"
6,6,[],"{0: {'kitColor': [223.1384, 226.91925, 213.11995], 'location': [6341.176, 5391.406]}, 1: {'kitColor': [221.05714, 225.69429, 212.40857], 'location': [8336.8545, 3083.6284]}, 2: {'kitColor': [159.05516, 238.44272, 179.4498], 'location': [8475.595, 3833.0322]}, 3: {'kitColor': [211.55496, 207.11417, 196.6501], 'location': [7542.973, 7023.628]}, 4: {'kitColor': [232.62335, 233.34776, 227.45932], 'location': [5475.934, 4543.0645]}, 5: {'kitColor': [149.05365, 236.21689, 188.8653], 'location': [5733.1987, 4353.105]}, 6: {'kitColor': [163.90608, 236.68233, 182.25415], 'location': [8293.55, 2188.8987]}, 7: {'kitColor': [233.04535, 236.38904, 226.38426], 'location': [5793.481, 1863.1741]}, 8: {'kitColor': [148.87007, 233.82773, 170.39561], 'location': [7472.071, 4349.186]}, 9: {'kitColor': [147.08571, 230.14545, 170.3961], 'location': [8419.915, 4428.631]}, 10: {'kitColor': [141.85179, 235.6996, 173.73865], 'location': [6147.9634, 6026.9854]}, 11: {'kitColor': [139.87895, 230.14545, 169.2132], 'location': [6902.2827, 5850.5723]}, 12: {'kitColor': [229.56454, 228.3095, 213.97202], 'location': [8211.629, 4225.32]}, 13: {'kitColor': [163.10735, 236.5805, 184.33598], 'location': [7380.647, 3039.039]}, 14: {'kitColor': [213.22937, 216.54124, 213.7942], 'location': [5802.97, 6214.0747]}, 15: {'kitColor': [133.41882, 224.69452, 160.48799], 'location': [8436.829, 6149.9136]}, 16: {'kitColor': [220.5594, 224.3909, 209.192], 'location': [6911.178, 3828.8975]}, 17: {'kitColor': [226.12263, 224.56602, 215.35219], 'location': [8117.3564, 367.8455]}, 18: {'kitColor': [192.76126, 229.6624, 189.58641], 'location': [7370.5186, 6440.1943]}}"
7,7,[[7302.658  6882.5728]],"{0: {'kitColor': [220.26628, 225.47337, 211.6065], 'location': [8345.953, 3085.55]}, 1: {'kitColor': [159.58815, 237.86601, 179.29056], 'location': [8482.688, 3834.3276]}, 2: {'kitColor': [222.3618, 225.77304, 212.5427], 'location': [6354.813, 5400.353]}, 3: {'kitColor': [146.05865, 234.6173, 169.2478], 'location': [7478.902, 4350.147]}, 4: {'kitColor': [163.59003, 236.0637, 181.73961], 'location': [8297.832, 2190.005]}, 5: {'kitColor': [139.35559, 229.79694, 168.9296], 'location': [6919.149, 5852.846]}, 6: {'kitColor': [234.59323, 237.83052, 228.31963], 'location': [5794.2515, 1863.714]}, 7: {'kitColor': [146.83562, 230.1411, 171.20549], 'location': [8432.373, 4430.826]}, 8: {'kitColor': [229.82565, 228.49672, 214.49342], 'location': [8224.84, 4216.276]}, 9: {'kitColor': [148.68224, 236.48013, 188.4042], 'location': [5739.0293, 4362.9663]}, 10: {'kitColor': [162.39241, 232.91682, 182.32008], 'location': [7383.022, 3068.1606]}, 11: {'kitColor': [203.168, 201.7344, 189.67805], 'location': [7527.9067, 7043.9155]}, 12: {'kitColor': [143.27293, 234.5647, 173.93726], 'location': [6151.592, 6025.691]}, 13: {'kitColor': [230.177, 230.83334, 225.60336], 'location': [5480.9604, 4551.929]}, 14: {'kitColor': [213.72711, 216.6836, 214.03354], 'location': [5805.1123, 6222.3535]}, 15: {'kitColor': [133.43098, 225.06856, 159.22066], 'location': [8434.451, 6174.626]}, 16: {'kitColor': [221.54456, 225.6662, 210.67892], 'location': [6915.3916, 3829.538]}, 17: {'kitColor': [224.5437, 224.0259, 214.60843], 'location': [8116.9937, 392.61475]}, 18: {'kitColor': [194.79613, 228.93611, 191.16655], 'location': [7379.8115, 6456.821]}}"
8,8,[[7304.274  6909.0664]],"{0: {'kitColor': [159.56897, 238.74281, 179.67097], 'location': [8485.641, 3845.5776]}, 1: {'kitColor': [138.85034, 225.97873, 168.02295], 'location': [6932.5396, 5870.3813]}, 2: {'kitColor': [163.37932, 235.06715, 183.29764], 'location': [7390.186, 3068.1807]}, 3: {'kitColor': [151.72903, 228.44388, 172.2542], 'location': [8443.619, 4431.434]}, 4: {'kitColor': [231.66614, 230.86235, 216.27531], 'location': [8228.047, 4226.673]}, 5: {'kitColor': [147.73164, 235.55847, 187.17545], 'location': [5741.65, 4364.178]}, 6: {'kitColor': [163.84857, 236.99142, 181.53143], 'location': [8296.451, 2205.8186]}, 7: {'kitColor': [230.81235, 234.75972, 225.03203], 'location': [5793.5054, 1863.5135]}, 8: {'kitColor': [226.27856, 228.90094, 216.23894], 'location': [6362.812, 5424.8516]}, 9: {'kitColor': [218.58734, 224.82228, 211.14156], 'location': [8353.509, 3099.8796]}, 10: {'kitColor': [129.35823, 225.07375, 156.99425], 'location': [8443.139, 6183.5225]}, 11: {'kitColor': [142.19655, 232.28896, 172.60454], 'location': [6152.179, 6028.204]}, 12: {'kitColor': [211.00894, 215.161, 211.88014], 'location': [5803.198, 6230.1035]}, 13: {'kitColor': [144.73926, 233.84593, 167.45482], 'location': [7484.419, 4350.326]}, 14: {'kitColor': [231.31975, 232.06053, 226.78554], 'location': [5483.003, 4553.459]}, 15: {'kitColor': [223.51808, 227.49059, 212.32271], 'location': [6917.3623, 3829.1216]}, 16: {'kitColor': [223.28064, 223.68387, 214.78064], 'location': [8119.2773, 392.9352]}, 17: {'kitColor': [195.79782, 196.01784, 185.12488], 'location': [7506.318, 7054.4414]}, 18: {'kitColor': [194.64647, 230.11472, 190.98557], 'location': [7384.514, 6481.8784]}}"
9,9,[[7304.178  6928.3516]],"{0: {'kitColor': [228.49767, 229.17729, 214.03732], 'location': [8226.223, 4239.905]}, 1: {'kitColor': [141.55197, 225.90945, 168.43307], 'location': [6947.585, 5907.2524]}, 2: {'kitColor': [158.88889, 238.98976, 179.92105], 'location': [8481.949, 3859.8696]}, 3: {'kitColor': [163.09059, 233.25578, 182.3428], 'location': [7393.281, 3070.0674]}, 4: {'kitColor': [146.57759, 235.3629, 186.40958], 'location': [5743.6807, 4373.915]}, 5: {'kitColor': [147.34729, 226.12192, 168.23769], 'location': [8441.7705, 4455.4863]}, 6: {'kitColor': [211.93808, 215.64233, 213.10905], 'location': [5801.4927, 6234.2344]}, 7: {'kitColor': [230.82558, 234.16977, 224.82558], 'location': [5793.2705, 1863.0948]}, 8: {'kitColor': [144.27036, 231.5654, 167.73256], 'location': [7486.357, 4352.319]}, 9: {'kitColor': [139.84138, 232.28503, 171.26248], 'location': [6150.645, 6033.4497]}, 10: {'kitColor': [161.23743, 233.15921, 178.35194], 'location': [8298.2295, 2207.6475]}, 11: {'kitColor': [226.01955, 228.28328, 216.28938], 'location': [6374.434, 5428.0796]}, 12: {'kitColor': [230.88788, 231.1913, 227.02243], 'location': [5482.7124, 4553.2007]}, 13: {'kitColor': [221.49722, 225.59862, 210.23611], 'location': [6917.2754, 3830.165]}, 14: {'kitColor': [214.96, 221.75385, 208.01231], 'location': [8364.413, 3104.03]}, 15: {'kitColor': [125.0377, 222.91328, 154.04901], 'location': [8449.37, 6187.202]}, 16: {'kitColor': [199.6767, 199.00623, 188.72746], 'location': [7486.6294, 7068.06]}, 17: {'kitColor': [226.1409, 226.48111, 217.7354], 'location': [8117.705, 417.18323]}, 18: {'kitColor': [187.48198, 230.26877, 188.13664], 'location': [7386.4917, 6494.3926]}}"
