,Frame,Ball Location,PlayerDicts
0,0,[[7270.787  6748.5977]],"{0: {'kitColor': array([142.95833333, 177.79166667, 175.875     ]), 'location': array([7449.5557, 4314.738 ], dtype=float32)}, 1: {'kitColor': array([197.58108108, 202.90427928, 199.10022523]), 'location': array([5465.4497, 4521.5845], dtype=float32)}, 2: {'kitColor': array([0., 0., 0.]), 'location': array([8357.738 , 4418.3096], dtype=float32)}, 3: {'kitColor': array([131.0625    , 182.97916667, 175.0625    ]), 'location': array([5714.7246, 4348.097 ], dtype=float32)}, 4: {'kitColor': array([107.75, 147.95, 142.95]), 'location': array([8454.083 , 3793.8523], dtype=float32)}, 5: {'kitColor': array([ 91.57327586, 137.09051724, 128.88362069]), 'location': array([8438.562 , 6028.6353], dtype=float32)}, 6: {'kitColor': array([205.27441077, 203.45117845, 186.88720539]), 'location': array([8172.034, 4208.535], dtype=float32)}, 7: {'kitColor': array([104.35, 145.95, 142.35]), 'location': array([7331.7075, 3034.278 ], dtype=float32)}, 8: {'kitColor': array([204.47797357, 210.06828194, 202.68281938]), 'location': array([5795.61  , 1840.1903], dtype=float32)}, 9: {'kitColor': array([167.46055437, 171.80490405, 161.91791045]), 'location': array([7600.63  , 7014.6597], dtype=float32)}, 10: {'kitColor': array([196.63013699, 200.55541719, 188.32752179]), 'location': array([6287.9966, 5333.926 ], dtype=float32)}, 11: {'kitColor': array([ 85.84158416, 117.97029703, 115.94059406]), 'location': array([6136.512, 6021.809], dtype=float32)}, 12: {'kitColor': array([197.55674847, 200.19478528, 190.61809816]), 'location': array([6905.021, 3807.011], dtype=float32)}, 13: {'kitColor': array([169.67888139, 174.23625844, 173.46673095]), 'location': array([5797.1772, 6152.091 ], dtype=float32)}, 14: {'kitColor': array([218., 255., 233.]), 'location': array([6805.554 , 5793.7075], dtype=float32)}, 15: {'kitColor': array([187.7278481 , 188.21835443, 180.61708861]), 'location': array([8281.604 , 3062.7812], dtype=float32)}, 16: {'kitColor': array([0., 0., 0.]), 'location': array([8262.789 , 2190.7744], dtype=float32)}, 17: {'kitColor': array([165.87195122, 161.92682927, 166.6402439 ]), 'location': array([8092.1426 ,  379.82413], dtype=float32)}, 18: {'kitColor': array([175.27073733, 185.29262673, 162.86866359]), 'location': array([7289.1816, 6358.754 ], dtype=float32)}}"
1,1,[[7270.562  6749.3994]],"{0: {'kitColor': array([142.95833333, 177.79166667, 175.875     ]), 'location': array([7450.164 , 4314.1704], dtype=float32)}, 1: {'kitColor': array([197.58108108, 202.90427928, 199.10022523]), 'location': array([5465.3633, 4522.0986], dtype=float32)}, 2: {'kitColor': array([0., 0., 0.]), 'location': array([8358.273, 4417.372], dtype=float32)}, 3: {'kitColor': array([131.0625    , 182.97916667, 175.0625    ]), 'location': array([5714.821, 4348.354], dtype=float32)}, 4: {'kitColor': array([107.75, 147.95, 142.95]), 'location': array([8454.833 , 3792.5796], dtype=float32)}, 5: {'kitColor': array([ 91.57327586, 137.09051724, 128.88362069]), 'location': array([8438.489 , 6028.3066], dtype=float32)}, 6: {'kitColor': array([205.27441077, 203.45117845, 186.88720539]), 'location': array([8172.67  , 4207.5835], dtype=float32)}, 7: {'kitColor': array([104.35, 145.95, 142.35]), 'location': array([7332.737 , 3032.9602], dtype=float32)}, 8: {'kitColor': array([204.47797357, 210.06828194, 202.68281938]), 'location': array([5798.1133, 1838.574 ], dtype=float32)}, 9: {'kitColor': array([167.46055437, 171.80490405, 161.91791045]), 'location': array([7600.316 , 7015.3193], dtype=float32)}, 10: {'kitColor': array([196.63013699, 200.55541719, 188.32752179]), 'location': array([6288.038 , 5334.5977], dtype=float32)}, 11: {'kitColor': array([ 85.84158416, 117.97029703, 115.94059406]), 'location': array([6136.292, 6023.024], dtype=float32)}, 12: {'kitColor': array([197.55674847, 200.19478528, 190.61809816]), 'location': array([6905.717 , 3806.3596], dtype=float32)}, 13: {'kitColor': array([169.67888139, 174.23625844, 173.46673095]), 'location': array([5796.786 , 6153.6226], dtype=float32)}, 14: {'kitColor': array([218., 255., 233.]), 'location': array([6805.587, 5794.344], dtype=float32)}, 15: {'kitColor': array([187.7278481 , 188.21835443, 180.61708861]), 'location': array([8282.645, 3061.193], dtype=float32)}, 16: {'kitColor': array([0., 0., 0.]), 'location': array([8268.552 , 2171.5618], dtype=float32)}, 17: {'kitColor': array([165.87195122, 161.92682927, 166.6402439 ]), 'location': array([8094.16   ,  376.55847], dtype=float32)}, 18: {'kitColor': array([175.27073733, 185.29262673, 162.86866359]), 'location': array([7289.0884, 6359.359 ], dtype=float32)}}"
2,2,[],"{0: {'kitColor': array([201.76531792, 205.42196532, 201.94682081]), 'location': array([5469.504 , 4531.4907], dtype=float32)}, 1: {'kitColor': array([111.16666667, 150.83333333, 147.83333333]), 'location': array([8464.867 , 3790.0967], dtype=float32)}, 2: {'kitColor': array([125.9875, 173.0875, 165.2375]), 'location': array([5717.77  , 4348.3696], dtype=float32)}, 3: {'kitColor': array([105.9, 147.3, 144.5]), 'location': array([7341.437 , 3017.5667], dtype=float32)}, 4: {'kitColor': array([209.91808874, 207.74744027, 191.98805461]), 'location': array([8180.9463, 4205.0625], dtype=float32)}, 5: {'kitColor': array([0., 0., 0.]), 'location': array([8368.096 , 4414.9316], dtype=float32)}, 6: {'kitColor': array([205.22222222, 211.07843137, 203.2745098 ]), 'location': array([5797.174 , 1854.8345], dtype=float32)}, 7: {'kitColor': array([149.475, 188.675, 183.575]), 'location': array([7454.1753, 4322.3804], dtype=float32)}, 8: {'kitColor': array([194.01398601, 197.76107226, 186.97552448]), 'location': array([6308.3774, 5331.276 ], dtype=float32)}, 9: {'kitColor': array([ 82.18584071, 115.30088496, 111.86725664]), 'location': array([6142.2637, 6024.5405], dtype=float32)}, 10: {'kitColor': array([ 90.46116505, 136.65533981, 128.05339806]), 'location': array([8450.323 , 6026.9717], dtype=float32)}, 11: {'kitColor': array([174.42407809, 176.75488069, 164.99349241]), 'location': array([7597.8784, 7022.35  ], dtype=float32)}, 12: {'kitColor': array([189.24842767, 188.89622642, 181.57232704]), 'location': array([8303.398, 3046.28 ], dtype=float32)}, 13: {'kitColor': array([196.84569733, 198.5652819 , 188.62611276]), 'location': array([6908.589 , 3816.0376], dtype=float32)}, 14: {'kitColor': array([170.89514563, 175.43106796, 174.63786408]), 'location': array([5801.1167, 6160.809 ], dtype=float32)}, 15: {'kitColor': array([0., 0., 0.]), 'location': array([8270.856 , 2186.7698], dtype=float32)}, 16: {'kitColor': array([222.  , 255.  , 233.25]), 'location': array([6838.01  , 5827.1694], dtype=float32)}, 17: {'kitColor': array([166.09311741, 160.54453441, 164.10931174]), 'location': array([8096.5405 ,  376.69717], dtype=float32)}, 18: {'kitColor': array([149.18161683, 164.78405316, 133.02768549]), 'location': array([7333.9805, 6397.553 ], dtype=float32)}}"
3,3,[[7285.4053 6795.331 ]],"{0: {'kitColor': array([0., 0., 0.]), 'location': array([8375.696 , 4421.7466], dtype=float32)}, 1: {'kitColor': array([199.94295693, 203.68451688, 200.18160652]), 'location': array([5473.2603, 4533.7383], dtype=float32)}, 2: {'kitColor': array([216.22007042, 212.75704225, 197.79577465]), 'location': array([8183.5005, 4210.4624], dtype=float32)}, 3: {'kitColor': array([125.85294118, 172.73529412, 165.38235294]), 'location': array([5720.324 , 4350.4595], dtype=float32)}, 4: {'kitColor': array([110.25      , 150.58333333, 140.58333333]), 'location': array([8470.473 , 3796.4587], dtype=float32)}, 5: {'kitColor': array([200.43786982, 202.04378698, 190.7443787 ]), 'location': array([6321.0923, 5343.504 ], dtype=float32)}, 6: {'kitColor': array([208.49315068, 213.49543379, 205.66438356]), 'location': array([5795.4883, 1865.8367], dtype=float32)}, 7: {'kitColor': array([190.95705521, 191.23619632, 183.37423313]), 'location': array([8320.25  , 3053.5002], dtype=float32)}, 8: {'kitColor': array([117.5625, 163.3125, 152.5625]), 'location': array([7350.224, 3021.193], dtype=float32)}, 9: {'kitColor': array([ 84.51785714, 116.22321429, 113.80357143]), 'location': array([6146.382 , 6026.1675], dtype=float32)}, 10: {'kitColor': array([ 97.92307692, 142.46153846, 134.46153846]), 'location': array([8443.093 , 6063.3325], dtype=float32)}, 11: {'kitColor': array([174.01962923, 174.60741549, 166.12104689]), 'location': array([7596.0845, 7020.1133], dtype=float32)}, 12: {'kitColor': array([196.88207547, 198.51257862, 189.22641509]), 'location': array([6909.858 , 3807.2444], dtype=float32)}, 13: {'kitColor': array([141.05, 180.75, 174.35]), 'location': array([7459.0283, 4327.164 ], dtype=float32)}, 14: {'kitColor': array([171.84688995, 176.91578947, 175.63732057]), 'location': array([5804.8926, 6172.282 ], dtype=float32)}, 15: {'kitColor': array([0., 0., 0.]), 'location': array([8275.532 , 2189.1287], dtype=float32)}, 16: {'kitColor': array([130.5 , 169.75, 151.5 ]), 'location': array([6852.5234, 5832.3   ], dtype=float32)}, 17: {'kitColor': array([165.44331984, 159.61538462, 164.02024291]), 'location': array([8103.024 ,  369.8233], dtype=float32)}, 18: {'kitColor': array([184.50592417, 193.87085308, 170.14691943]), 'location': array([7297.446 , 6377.2446], dtype=float32)}}"
4,4,[[7288.5205 6815.2437]],"{0: {'kitColor': array([199.13446328, 203.10508475, 199.58983051]), 'location': array([5473.7495, 4533.925 ], dtype=float32)}, 1: {'kitColor': array([128.06741573, 176.8988764 , 168.85393258]), 'location': array([5723.342, 4351.251], dtype=float32)}, 2: {'kitColor': array([110.875, 151.125, 142.875]), 'location': array([8468.839, 3809.195], dtype=float32)}, 3: {'kitColor': array([0., 0., 0.]), 'location': array([8383.111, 4423.521], dtype=float32)}, 4: {'kitColor': array([209.53278689, 207.63114754, 192.5852459 ]), 'location': array([8186.3726, 4222.721 ], dtype=float32)}, 5: {'kitColor': array([198.44819558, 200.44935972, 188.96507567]), 'location': array([6326.3325, 5344.745 ], dtype=float32)}, 6: {'kitColor': array([204.97876858, 211.01698514, 202.49681529]), 'location': array([5794.633 , 1865.7959], dtype=float32)}, 7: {'kitColor': array([116.58823529, 160.41176471, 151.64705882]), 'location': array([7358.7603, 3037.414 ], dtype=float32)}, 8: {'kitColor': array([ 92.10576923, 137.27884615, 129.54807692]), 'location': array([8432.173 , 6102.5967], dtype=float32)}, 9: {'kitColor': array([148.02272727, 184.84090909, 181.29545455]), 'location': array([7459.9814, 4338.1025], dtype=float32)}, 10: {'kitColor': array([193.28660436, 193.08722741, 185.14641745]), 'location': array([8322.601, 3069.209], dtype=float32)}, 11: {'kitColor': array([ 77.88333333, 108.99166667, 107.25833333]), 'location': array([6146.651, 6026.048], dtype=float32)}, 12: {'kitColor': array([ 70.4375, 109.4375,  97.9375]), 'location': array([6868.6064, 5836.1914], dtype=float32)}, 13: {'kitColor': array([176.03078983, 179.02008032, 169.09504685]), 'location': array([7581.7695, 7015.9287], dtype=float32)}, 14: {'kitColor': array([197.85779817, 199.45718654, 189.31498471]), 'location': array([6907.864 , 3818.5776], dtype=float32)}, 15: {'kitColor': array([0., 0., 0.]), 'location': array([8279.62  , 2190.0051], dtype=float32)}, 16: {'kitColor': array([172.50948767, 178.29316888, 177.40891841]), 'location': array([5803.411 , 6192.3706], dtype=float32)}, 17: {'kitColor': array([165.02845528, 161.5101626 , 163.38211382]), 'location': array([8106.866  ,  370.23453], dtype=float32)}, 18: {'kitColor': array([195.15485564, 202.17716535, 180.91338583]), 'location': array([7302.6943, 6372.677 ], dtype=float32)}}"
5,5,[[7284.336 6848.696]],"{0: {'kitColor': array([201.57551487, 204.9771167 , 201.32837529]), 'location': array([5475.975 , 4542.5205], dtype=float32)}, 1: {'kitColor': array([126.03614458, 170.07228916, 163.95180723]), 'location': array([5727.1084, 4352.1826], dtype=float32)}, 2: {'kitColor': array([116.625, 159.625, 146.625]), 'location': array([8472.464 , 3814.8406], dtype=float32)}, 3: {'kitColor': array([ 99.125, 139.25 , 127.625]), 'location': array([8391.435, 4431.012], dtype=float32)}, 4: {'kitColor': array([198.88210075, 200.24437299, 189.29796356]), 'location': array([6329.4004, 5369.1323], dtype=float32)}, 5: {'kitColor': array([ 93.84782609, 138.69565217, 131.32608696]), 'location': array([8422.153, 6142.869], dtype=float32)}, 6: {'kitColor': array([149.22222222, 187.88888889, 181.66666667]), 'location': array([7462.8555, 4342.5264], dtype=float32)}, 7: {'kitColor': array([206.18669528, 211.53648069, 203.81759657]), 'location': array([5794.7104, 1865.1617], dtype=float32)}, 8: {'kitColor': array([110.25, 155.  , 145.5 ]), 'location': array([7369.829 , 3041.8992], dtype=float32)}, 9: {'kitColor': array([193.37202381, 194.92261905, 185.87797619]), 'location': array([8321.492 , 3087.5876], dtype=float32)}, 10: {'kitColor': array([176.38387978, 177.3579235 , 170.01229508]), 'location': array([7558.499, 7021.073], dtype=float32)}, 11: {'kitColor': array([0., 0., 0.]), 'location': array([8282.008, 2192.643], dtype=float32)}, 12: {'kitColor': array([215.24074074, 212.48989899, 197.99326599]), 'location': array([8190.73 , 4228.681], dtype=float32)}, 13: {'kitColor': array([ 75.2, 116.3, 105.4]), 'location': array([6882.327, 5843.33 ], dtype=float32)}, 14: {'kitColor': array([ 75.58870968, 104.84677419, 104.49193548]), 'location': array([6144.7275, 6027.2456], dtype=float32)}, 15: {'kitColor': array([197.43846154, 198.98923077, 189.95538462]), 'location': array([6907.6895, 3820.7808], dtype=float32)}, 16: {'kitColor': array([169.70666667, 164.65111111, 166.08      ]), 'location': array([8109.206  ,  369.92325], dtype=float32)}, 17: {'kitColor': array([172.64528302, 178.00943396, 177.42169811]), 'location': array([5802.1816, 6203.023 ], dtype=float32)}, 18: {'kitColor': array([186.23063063, 199.07927928, 172.1963964 ]), 'location': array([7362.81  , 6404.9688], dtype=float32)}}"
6,6,[],"{0: {'kitColor': array([197.35431472, 199.09847716, 188.1319797 ]), 'location': array([6341.176, 5391.406], dtype=float32)}, 1: {'kitColor': array([195.04334365, 195.79256966, 187.44272446]), 'location': array([8336.8545, 3083.6284], dtype=float32)}, 2: {'kitColor': array([110.9375, 153.1875, 140.6875]), 'location': array([8475.595 , 3833.0322], dtype=float32)}, 3: {'kitColor': array([175.11825193, 175.90616967, 166.96915167]), 'location': array([7542.973, 7023.628], dtype=float32)}, 4: {'kitColor': array([200.23210162, 204.09930716, 200.14896074]), 'location': array([5475.934 , 4543.0645], dtype=float32)}, 5: {'kitColor': array([118.84848485, 162.74747475, 156.15151515]), 'location': array([5733.1987, 4353.105 ], dtype=float32)}, 6: {'kitColor': array([0., 0., 0.]), 'location': array([8293.55  , 2188.8987], dtype=float32)}, 7: {'kitColor': array([207.57815846, 212.18415418, 203.96359743]), 'location': array([5793.481 , 1863.1741], dtype=float32)}, 8: {'kitColor': array([144.36111111, 181.13888889, 176.58333333]), 'location': array([7472.071, 4349.186], dtype=float32)}, 9: {'kitColor': array([112.125     , 144.79166667, 136.95833333]), 'location': array([8419.915, 4428.631], dtype=float32)}, 10: {'kitColor': array([ 72.4765625, 100.4140625, 101.1953125]), 'location': array([6147.9634, 6026.9854], dtype=float32)}, 11: {'kitColor': array([ 69.9       , 113.23333333, 104.23333333]), 'location': array([6902.2827, 5850.5723], dtype=float32)}, 12: {'kitColor': array([207.66508689, 205.8657188 , 190.53870458]), 'location': array([8211.629, 4225.32 ], dtype=float32)}, 13: {'kitColor': array([102.65625, 144.65625, 144.03125]), 'location': array([7380.647, 3039.039], dtype=float32)}, 14: {'kitColor': array([171.81666667, 177.11018519, 176.24722222]), 'location': array([5802.97  , 6214.0747], dtype=float32)}, 15: {'kitColor': array([ 94.15609756, 139.35121951, 131.83414634]), 'location': array([8436.829 , 6149.9136], dtype=float32)}, 16: {'kitColor': array([200.11163522, 201.47798742, 192.60849057]), 'location': array([6911.178 , 3828.8975], dtype=float32)}, 17: {'kitColor': array([159.452, 155.206, 155.93 ]), 'location': array([8117.3564,  367.8455], dtype=float32)}, 18: {'kitColor': array([182.22025913, 192.44876325, 170.35100118]), 'location': array([7370.5186, 6440.1943], dtype=float32)}}"
7,7,[[7302.658  6882.5728]],"{0: {'kitColor': array([195.70198675, 196.44039735, 188.20198675]), 'location': array([8345.953, 3085.55 ], dtype=float32)}, 1: {'kitColor': array([113.125, 156.125, 143.125]), 'location': array([8482.688 , 3834.3276], dtype=float32)}, 2: {'kitColor': array([196.67774421, 198.58006042, 187.91540785]), 'location': array([6354.813, 5400.353], dtype=float32)}, 3: {'kitColor': array([149.53125, 188.78125, 182.15625]), 'location': array([7478.902, 4350.147], dtype=float32)}, 4: {'kitColor': array([0., 0., 0.]), 'location': array([8297.832, 2190.005], dtype=float32)}, 5: {'kitColor': array([ 73.94444444, 117.05555556, 108.05555556]), 'location': array([6919.149, 5852.846], dtype=float32)}, 6: {'kitColor': array([205.53333333, 210.45      , 202.82083333]), 'location': array([5794.2515, 1863.714 ], dtype=float32)}, 7: {'kitColor': array([114.25, 150.25, 139.5 ]), 'location': array([8432.373, 4430.826], dtype=float32)}, 8: {'kitColor': array([206.09531502, 204.15993538, 188.99838449]), 'location': array([8224.84 , 4216.276], dtype=float32)}, 9: {'kitColor': array([122.35227273, 163.43181818, 158.80681818]), 'location': array([5739.0293, 4362.9663], dtype=float32)}, 10: {'kitColor': array([ 97.875     , 139.04166667, 138.875     ]), 'location': array([7383.022 , 3068.1606], dtype=float32)}, 11: {'kitColor': array([173.57888041, 175.63740458, 165.02926209]), 'location': array([7527.9067, 7043.9155], dtype=float32)}, 12: {'kitColor': array([ 71.56390977, 100.63909774, 100.93233083]), 'location': array([6151.592, 6025.691], dtype=float32)}, 13: {'kitColor': array([203.64285714, 206.65738499, 203.81234867]), 'location': array([5480.9604, 4551.929 ], dtype=float32)}, 14: {'kitColor': array([170.54818182, 176.35090909, 175.78090909]), 'location': array([5805.1123, 6222.3535], dtype=float32)}, 15: {'kitColor': array([101.98611111, 144.125     , 139.95833333]), 'location': array([8434.451, 6174.626], dtype=float32)}, 16: {'kitColor': array([199.22169059, 201.08931419, 192.19298246]), 'location': array([6915.3916, 3829.538 ], dtype=float32)}, 17: {'kitColor': array([158.792, 155.754, 154.828]), 'location': array([8116.9937 ,  392.61475], dtype=float32)}, 18: {'kitColor': array([184.41062176, 193.14896373, 172.52849741]), 'location': array([7379.8115, 6456.821 ], dtype=float32)}}"
8,8,[[7304.274  6909.0664]],"{0: {'kitColor': array([112.83333333, 152.83333333, 144.16666667]), 'location': array([8485.641 , 3845.5776], dtype=float32)}, 1: {'kitColor': array([ 72.96153846, 115.34615385, 107.26923077]), 'location': array([6932.5396, 5870.3813], dtype=float32)}, 2: {'kitColor': array([111.5 , 155.75, 146.5 ]), 'location': array([7390.186 , 3068.1807], dtype=float32)}, 3: {'kitColor': array([107.07692308, 142.84615385, 132.38461538]), 'location': array([8443.619, 4431.434], dtype=float32)}, 4: {'kitColor': array([201.61656442, 200.94785276, 185.05214724]), 'location': array([8228.047, 4226.673], dtype=float32)}, 5: {'kitColor': array([119.38461538, 168.67521368, 160.64102564]), 'location': array([5741.65 , 4364.178], dtype=float32)}, 6: {'kitColor': array([0., 0., 0.]), 'location': array([8296.451 , 2205.8186], dtype=float32)}, 7: {'kitColor': array([205.86163522, 210.27463312, 202.83228512]), 'location': array([5793.5054, 1863.5135], dtype=float32)}, 8: {'kitColor': array([196.56129686, 199.06788247, 188.76190476]), 'location': array([6362.812 , 5424.8516], dtype=float32)}, 9: {'kitColor': array([186.04113924, 188.96518987, 179.96202532]), 'location': array([8353.509 , 3099.8796], dtype=float32)}, 10: {'kitColor': array([ 98.79054054, 142.42567568, 136.92567568]), 'location': array([8443.139 , 6183.5225], dtype=float32)}, 11: {'kitColor': array([68.36842105, 96.72932331, 97.87218045]), 'location': array([6152.179, 6028.204], dtype=float32)}, 12: {'kitColor': array([169.59198543, 176.06102004, 175.15027322]), 'location': array([5803.198 , 6230.1035], dtype=float32)}, 13: {'kitColor': array([140.55555556, 178.91111111, 174.17777778]), 'location': array([7484.419, 4350.326], dtype=float32)}, 14: {'kitColor': array([204.32309582, 207.22481572, 204.47911548]), 'location': array([5483.003, 4553.459], dtype=float32)}, 15: {'kitColor': array([202.78199052, 204.76303318, 195.06635071]), 'location': array([6917.3623, 3829.1216], dtype=float32)}, 16: {'kitColor': array([159.28421053, 156.68210526, 154.91368421]), 'location': array([8119.2773,  392.9352], dtype=float32)}, 17: {'kitColor': array([173.18527919, 174.69416244, 165.43781726]), 'location': array([7506.318 , 7054.4414], dtype=float32)}, 18: {'kitColor': array([181.78388747, 194.71355499, 172.25831202]), 'location': array([7384.514 , 6481.8784], dtype=float32)}}"
9,9,[[7304.178  6928.3516]],"{0: {'kitColor': array([198.38930163, 198.62109955, 182.30609212]), 'location': array([8226.223, 4239.905], dtype=float32)}, 1: {'kitColor': array([ 77.31818182, 114.04545455, 106.68181818]), 'location': array([6947.585 , 5907.2524], dtype=float32)}, 2: {'kitColor': array([113.875, 153.375, 143.875]), 'location': array([8481.949 , 3859.8696], dtype=float32)}, 3: {'kitColor': array([119.  , 161.5 , 157.25]), 'location': array([7393.281 , 3070.0674], dtype=float32)}, 4: {'kitColor': array([121.12 , 171.312, 161.   ]), 'location': array([5743.6807, 4373.915 ], dtype=float32)}, 5: {'kitColor': array([106.875, 136.625, 128.875]), 'location': array([8441.7705, 4455.4863], dtype=float32)}, 6: {'kitColor': array([170.94031221, 176.89439853, 176.92286501]), 'location': array([5801.4927, 6234.2344], dtype=float32)}, 7: {'kitColor': array([205.71698113, 209.85953878, 203.45283019]), 'location': array([5793.2705, 1863.0948], dtype=float32)}, 8: {'kitColor': array([137.5       , 175.86956522, 170.39130435]), 'location': array([7486.357, 4352.319], dtype=float32)}, 9: {'kitColor': array([ 72.88194444, 103.63194444, 103.36805556]), 'location': array([6150.645 , 6033.4497], dtype=float32)}, 10: {'kitColor': array([0., 0., 0.]), 'location': array([8298.2295, 2207.6475], dtype=float32)}, 11: {'kitColor': array([201.33481646, 203.37374861, 193.84315907]), 'location': array([6374.434 , 5428.0796], dtype=float32)}, 12: {'kitColor': array([204.31234568, 207.65308642, 204.97530864]), 'location': array([5482.7124, 4553.2007], dtype=float32)}, 13: {'kitColor': array([203.64920635, 205.24126984, 195.96984127]), 'location': array([6917.2754, 3830.165 ], dtype=float32)}, 14: {'kitColor': array([192.38461538, 193.73260073, 185.77289377]), 'location': array([8364.413, 3104.03 ], dtype=float32)}, 15: {'kitColor': array([105.9140625, 148.6640625, 143.1015625]), 'location': array([8449.37 , 6187.202], dtype=float32)}, 16: {'kitColor': array([170.2175981 , 171.882283  , 162.31747919]), 'location': array([7486.6294, 7068.06  ], dtype=float32)}, 17: {'kitColor': array([157.09716599, 154.21052632, 154.73279352]), 'location': array([8117.705  ,  417.18323], dtype=float32)}, 18: {'kitColor': array([174.9902371 , 185.45048815, 165.31799163]), 'location': array([7386.4917, 6494.3926], dtype=float32)}}"
